DateTime,NOx,NO2,NO,SiteID,PM10,NVPM10,VPM10,NVPM2.5,PM2.5,VPM2.5,CO,O3,SO2,Temperature,RH,Air Pressure,Location,geo_point_2d,DateStart,DateEnd,Current,Instrument Type
2019-05-06 07:00:00+00:00,87.5,42.75,29.25,501,15.275,13.975166992249031,3.445466002898733,9.139141177051933,11.522119312803936,3.292385234965657,0.3706192803956118,45.15218568851587,1.7581518031743144,9.48951069974616,18.555306606898537,DefaultValue,Colston Avenue,"51.455269382758324, -2.596648828557916",2018-11-30T00:00:00+00:00,2015-12-31T00:00:00+00:00,True,Continuous Reference
2019-05-06 09:00:00+00:00,131.25,55.75,49.25,501,18.825,13.975166992249031,3.445466002898733,9.139141177051933,11.522119312803936,3.292385234965657,0.3706192803956118,45.15218568851587,1.7581518031743144,9.48951069974616,18.555306606898537,DefaultValue,Colston Avenue,"51.455269382758324, -2.596648828557916",2018-11-30T00:00:00+00:00,2015-12-31T00:00:00+00:00,True,Continuous Reference
2019-05-06 12:00:00+00:00,153.0,57.5,62.25,501,17.55,13.975166992249031,3.445466002898733,9.139141177051933,11.522119312803936,3.292385234965657,0.3706192803956118,45.15218568851587,1.7581518031743144,9.48951069974616,18.555306606898537,DefaultValue,Colston Avenue,"51.455269382758324, -2.596648828557916",2018-11-30T00:00:00+00:00,2015-12-31T00:00:00+00:00,True,Continuous Reference
2019-05-06 22:00:00+00:00,201.5,82.0,77.75,501,24.4,13.975166992249031,3.445466002898733,9.139141177051933,11.522119312803936,3.292385234965657,0.3706192803956118,45.15218568851587,1.7581518031743144,9.48951069974616,18.555306606898537,DefaultValue,Colston Avenue,"51.455269382758324, -2.596648828557916",2018-11-30T00:00:00+00:00,2015-12-31T00:00:00+00:00,True,Continuous Reference
2019-05-07 00:00:00+00:00,186.25,63.25,80.25,501,23.525,13.975166992249031,3.445466002898733,9.139141177051933,11.522119312803936,3.292385234965657,0.3706192803956118,45.15218568851587,1.7581518031743144,9.48951069974616,18.555306606898537,DefaultValue,Colston Avenue,"51.455269382758324, -2.596648828557916",2018-11-30T00:00:00+00:00,2015-12-31T00:00:00+00:00,True,Continuous Reference
2019-05-07 08:00:00+00:00,269.25,81.25,122.25,501,23.175,13.975166992249031,3.445466002898733,9.139141177051933,11.522119312803936,3.292385234965657,0.3706192803956118,45.15218568851587,1.7581518031743144,9.48951069974616,18.555306606898537,DefaultValue,Colston Avenue,"51.455269382758324, -2.596648828557916",2018-11-30T00:00:00+00:00,2015-12-31T00:00:00+00:00,True,Continuous Reference
2019-05-07 09:00:00+00:00,173.5,73.5,65.0,501,31.425,13.975166992249031,3.445466002898733,9.139141177051933,11.522119312803936,3.292385234965657,0.3706192803956118,45.15218568851587,1.7581518031743144,9.48951069974616,18.555306606898537,DefaultValue,Colston Avenue,"51.455269382758324, -2.596648828557916",2018-11-30T00:00:00+00:00,2015-12-31T00:00:00+00:00,True,Continuous Reference
2019-05-07 14:00:00+00:00,115.75,51.75,41.75,501,22.325,13.975166992249031,3.445466002898733,9.139141177051933,11.522119312803936,3.292385234965657,0.3706192803956118,45.15218568851587,1.7581518031743144,9.48951069974616,18.555306606898537,DefaultValue,Colston Avenue,"51.455269382758324, -2.596648828557916",2018-11-30T00:00:00+00:00,2015-12-31T00:00:00+00:00,True,Continuous Reference
2019-05-07 18:00:00+00:00,245.75,96.0,98.0,501,26.2,13.975166992249031,3.445466002898733,9.139141177051933,11.522119312803936,3.292385234965657,0.3706192803956118,45.15218568851587,1.7581518031743144,9.48951069974616,18.555306606898537,DefaultValue,Colston Avenue,"51.455269382758324, -2.596648828557916",2018-11-30T00:00:00+00:00,2015-12-31T00:00:00+00:00,True,Continuous Reference
2019-05-08 00:00:00+00:00,35.5,31.0,3.0,501,18.6,13.975166992249031,3.445466002898733,9.139141177051933,11.522119312803936,3.292385234965657,0.3706192803956118,45.15218568851587,1.7581518031743144,9.48951069974616,18.555306606898537,DefaultValue,Colston Avenue,"51.455269382758324, -2.596648828557916",2018-11-30T00:00:00+00:00,2015-12-31T00:00:00+00:00,True,Continuous Reference
2019-05-08 03:00:00+00:00,18.5,16.75,1.25,501,19.4,13.975166992249031,3.445466002898733,9.139141177051933,11.522119312803936,3.292385234965657,0.3706192803956118,45.15218568851587,1.7581518031743144,9.48951069974616,18.555306606898537,DefaultValue,Colston Avenue,"51.455269382758324, -2.596648828557916",2018-11-30T00:00:00+00:00,2015-12-31T00:00:00+00:00,True,Continuous Reference
2019-05-08 06:00:00+00:00,19.75,17.0,2.0,501,10.3,13.975166992249031,3.445466002898733,9.139141177051933,11.522119312803936,3.292385234965657,0.3706192803956118,45.15218568851587,1.7581518031743144,9.48951069974616,18.555306606898537,DefaultValue,Colston Avenue,"51.455269382758324, -2.596648828557916",2018-11-30T00:00:00+00:00,2015-12-31T00:00:00+00:00,True,Continuous Reference
2019-05-08 16:00:00+00:00,299.5,90.0,136.75,501,17.975,13.975166992249031,3.445466002898733,9.139141177051933,11.522119312803936,3.292385234965657,0.3706192803956118,45.15218568851587,1.7581518031743144,9.48951069974616,18.555306606898537,DefaultValue,Colston Avenue,"51.455269382758324, -2.596648828557916",2018-11-30T00:00:00+00:00,2015-12-31T00:00:00+00:00,True,Continuous Reference
2019-05-10 02:00:00+00:00,73.0,40.25,21.5,501,18.6,13.975166992249031,3.445466002898733,9.139141177051933,11.522119312803936,3.292385234965657,0.3706192803956118,45.15218568851587,1.7581518031743144,9.48951069974616,18.555306606898537,DefaultValue,Colston Avenue,"51.455269382758324, -2.596648828557916",2018-11-30T00:00:00+00:00,2015-12-31T00:00:00+00:00,True,Continuous Reference
2019-05-10 08:00:00+00:00,412.25,102.0,202.0,501,36.4,13.975166992249031,3.445466002898733,9.139141177051933,11.522119312803936,3.292385234965657,0.3706192803956118,45.15218568851587,1.7581518031743144,9.48951069974616,18.555306606898537,DefaultValue,Colston Avenue,"51.455269382758324, -2.596648828557916",2018-11-30T00:00:00+00:00,2015-12-31T00:00:00+00:00,True,Continuous Reference
2019-05-11 04:00:00+00:00,104.75,47.5,37.5,501,18.8,13.975166992249031,3.445466002898733,9.139141177051933,11.522119312803936,3.292385234965657,0.3706192803956118,45.15218568851587,1.7581518031743144,9.48951069974616,18.555306606898537,DefaultValue,Colston Avenue,"51.455269382758324, -2.596648828557916",2018-11-30T00:00:00+00:00,2015-12-31T00:00:00+00:00,True,Continuous Reference
2019-05-11 18:00:00+00:00,214.25,73.75,91.5,501,8.9,13.975166992249031,3.445466002898733,9.139141177051933,11.522119312803936,3.292385234965657,0.3706192803956118,45.15218568851587,1.7581518031743144,9.48951069974616,18.555306606898537,DefaultValue,Colston Avenue,"51.455269382758324, -2.596648828557916",2018-11-30T00:00:00+00:00,2015-12-31T00:00:00+00:00,True,Continuous Reference
2019-05-11 19:00:00+00:00,274.5,105.75,110.0,501,18.6,13.975166992249031,3.445466002898733,9.139141177051933,11.522119312803936,3.292385234965657,0.3706192803956118,45.15218568851587,1.7581518031743144,9.48951069974616,18.555306606898537,DefaultValue,Colston Avenue,"51.455269382758324, -2.596648828557916",2018-11-30T00:00:00+00:00,2015-12-31T00:00:00+00:00,True,Continuous Reference
2019-05-11 21:00:00+00:00,139.25,65.25,48.5,501,21.075,13.975166992249031,3.445466002898733,9.139141177051933,11.522119312803936,3.292385234965657,0.3706192803956118,45.15218568851587,1.7581518031743144,9.48951069974616,18.555306606898537,DefaultValue,Colston Avenue,"51.455269382758324, -2.596648828557916",2018-11-30T00:00:00+00:00,2015-12-31T00:00:00+00:00,True,Continuous Reference
2019-05-11 22:00:00+00:00,144.0,71.75,47.5,501,20.025,13.975166992249031,3.445466002898733,9.139141177051933,11.522119312803936,3.292385234965657,0.3706192803956118,45.15218568851587,1.7581518031743144,9.48951069974616,18.555306606898537,DefaultValue,Colston Avenue,"51.455269382758324, -2.596648828557916",2018-11-30T00:00:00+00:00,2015-12-31T00:00:00+00:00,True,Continuous Reference
2019-05-12 09:00:00+00:00,34.25,19.0,10.0,501,17.375,13.975166992249031,3.445466002898733,9.139141177051933,11.522119312803936,3.292385234965657,0.3706192803956118,45.15218568851587,1.7581518031743144,9.48951069974616,18.555306606898537,DefaultValue,Colston Avenue,"51.455269382758324, -2.596648828557916",2018-11-30T00:00:00+00:00,2015-12-31T00:00:00+00:00,True,Continuous Reference
2019-05-12 13:00:00+00:00,87.5,36.75,33.0,501,23.55,13.975166992249031,3.445466002898733,9.139141177051933,11.522119312803936,3.292385234965657,0.3706192803956118,45.15218568851587,1.7581518031743144,9.48951069974616,18.555306606898537,DefaultValue,Colston Avenue,"51.455269382758324, -2.596648828557916",2018-11-30T00:00:00+00:00,2015-12-31T00:00:00+00:00,True,Continuous Reference
2019-05-12 21:00:00+00:00,89.5,54.75,22.5,501,12.625,13.975166992249031,3.445466002898733,9.139141177051933,11.522119312803936,3.292385234965657,0.3706192803956118,45.15218568851587,1.7581518031743144,9.48951069974616,18.555306606898537,DefaultValue,Colston Avenue,"51.455269382758324, -2.596648828557916",2018-11-30T00:00:00+00:00,2015-12-31T00:00:00+00:00,True,Continuous Reference
2019-05-13 08:00:00+00:00,275.25,70.0,133.75,501,31.4,13.975166992249031,3.445466002898733,9.139141177051933,11.522119312803936,3.292385234965657,0.3706192803956118,45.15218568851587,1.7581518031743144,9.48951069974616,18.555306606898537,DefaultValue,Colston Avenue,"51.455269382758324, -2.596648828557916",2018-11-30T00:00:00+00:00,2015-12-31T00:00:00+00:00,True,Continuous Reference
2019-05-13 10:00:00+00:00,154.5,52.75,66.5,501,23.175,13.975166992249031,3.445466002898733,9.139141177051933,11.522119312803936,3.292385234965657,0.3706192803956118,45.15218568851587,1.7581518031743144,9.48951069974616,18.555306606898537,DefaultValue,Colston Avenue,"51.455269382758324, -2.596648828557916",2018-11-30T00:00:00+00:00,2015-12-31T00:00:00+00:00,True,Continuous Reference
2019-05-13 11:00:00+00:00,58.75,32.0,17.5,501,24.0,13.975166992249031,3.445466002898733,9.139141177051933,11.522119312803936,3.292385234965657,0.3706192803956118,45.15218568851587,1.7581518031743144,9.48951069974616,18.555306606898537,DefaultValue,Colston Avenue,"51.455269382758324, -2.596648828557916",2018-11-30T00:00:00+00:00,2015-12-31T00:00:00+00:00,True,Continuous Reference
2019-05-13 14:00:00+00:00,68.25,37.75,19.75,501,23.575,13.975166992249031,3.445466002898733,9.139141177051933,11.522119312803936,3.292385234965657,0.3706192803956118,45.15218568851587,1.7581518031743144,9.48951069974616,18.555306606898537,DefaultValue,Colston Avenue,"51.455269382758324, -2.596648828557916",2018-11-30T00:00:00+00:00,2015-12-31T00:00:00+00:00,True,Continuous Reference
2019-05-13 19:00:00+00:00,92.5,55.5,24.0,501,20.625,13.975166992249031,3.445466002898733,9.139141177051933,11.522119312803936,3.292385234965657,0.3706192803956118,45.15218568851587,1.7581518031743144,9.48951069974616,18.555306606898537,DefaultValue,Colston Avenue,"51.455269382758324, -2.596648828557916",2018-11-30T00:00:00+00:00,2015-12-31T00:00:00+00:00,True,Continuous Reference
2019-05-14 01:00:00+00:00,39.0,31.25,5.0,501,15.1,13.975166992249031,3.445466002898733,9.139141177051933,11.522119312803936,3.292385234965657,0.3706192803956118,45.15218568851587,1.7581518031743144,9.48951069974616,18.555306606898537,DefaultValue,Colston Avenue,"51.455269382758324, -2.596648828557916",2018-11-30T00:00:00+00:00,2015-12-31T00:00:00+00:00,True,Continuous Reference
2019-05-14 03:00:00+00:00,29.25,24.75,3.25,501,12.575,13.975166992249031,3.445466002898733,9.139141177051933,11.522119312803936,3.292385234965657,0.3706192803956118,45.15218568851587,1.7581518031743144,9.48951069974616,18.555306606898537,DefaultValue,Colston Avenue,"51.455269382758324, -2.596648828557916",2018-11-30T00:00:00+00:00,2015-12-31T00:00:00+00:00,True,Continuous Reference
2019-05-14 10:00:00+00:00,114.75,52.0,41.0,501,24.375,13.975166992249031,3.445466002898733,9.139141177051933,11.522119312803936,3.292385234965657,0.3706192803956118,45.15218568851587,1.7581518031743144,9.48951069974616,18.555306606898537,DefaultValue,Colston Avenue,"51.455269382758324, -2.596648828557916",2018-11-30T00:00:00+00:00,2015-12-31T00:00:00+00:00,True,Continuous Reference
2019-05-14 19:00:00+00:00,114.25,63.0,33.5,501,16.725,13.975166992249031,3.445466002898733,9.139141177051933,11.522119312803936,3.292385234965657,0.3706192803956118,45.15218568851587,1.7581518031743144,9.48951069974616,18.555306606898537,DefaultValue,Colston Avenue,"51.455269382758324, -2.596648828557916",2018-11-30T00:00:00+00:00,2015-12-31T00:00:00+00:00,True,Continuous Reference
